Type,ID,Text,Keywords
SU25-GAI_PoliciesPractices,19,"what do you think about..? what is the most important…? prioritize give rationale for... provide criteria for assessing... create synthesis ability to creatively apply knowledge to new areas, integrate new knowledge, write well argued paper/speech, propose research design to test hypothesis. compile, categorize, generate, negotiate, reconstruct, write, reorganize, revise, validate, organize, plan, propose, set up, substitute, initiate, express, compare, modify, design, create, build, devise, integrate","create, design, important, research, write"
SU25-GAI_PoliciesPractices,20,"validate, organize, plan, propose, set up, substitute, initiate, express, compare, modify, design, create, build, devise, integrate what would you infer/predict from ..? what ideas can you add to how would you create/design? what might happen if you ?what solutions would you suggest..? benjamin s. bloom david r. krathwohl. (1956). taxonomy of educational objectives: the classification of educational goals, by committee of college and university examiners.","committee, create, design, educational, goal, idea, solution, university"
SU25-GAI_PoliciesPractices,21,"taxonomy of educational objectives: the classification of educational goals, by committee of college and university examiners. handbook 1: cognitive domain. new york, longmans. dr. phillippa hardman gai-aware make-overs [b.2] writing-specific examples are from annette vee’s post, ai aware teaching examples, in ai how we teach writing. assignment why this assignment? ai resistant modification ai leveraged modification writing intensive courses annotated bibliography [ai can do this]","artificialintelligence, assignment, committee, educational, gai, goal, leverage, teach, university, write"
SU25-GAI_PoliciesPractices,22,"assignment? ai resistant modification ai leveraged modification writing intensive courses annotated bibliography [ai can do this] provides practice finding and evaluating sources; prepares students for project that uses sources to make an argument. construct an i-search narrative about their research process, describing why they chose topic, how they began their search, who they talked to, what threads they followed and why, what questions remain for","artificialintelligence, assignment, leverage, practice, project, research, student, topic, write"
SU25-GAI_PoliciesPractices,23,"their search, who they talked to, what threads they followed and why, what questions remain for them, etc. ask students to prepare for research by making list of what they don’t know about topic, what they want to know, and what they can’t know about topic. you could ask students to begin that list in class, minimizing distractions and temptations of ai. pose research question","artificialintelligence, class, research, student, topic"
SU25-GAI_PoliciesPractices,24,"students to begin that list in class, minimizing distractions and temptations of ai. pose research question to an llm w/specified prompt characteristics constraints, then ask students to evaluate sources for: quality, veracity, completeness, etc reading response [ai can do this] holds students accountable for doing their assigned reading; allows students to interact /work with each other; motivates prep for discussion in class. de-emphasize the written","artificialintelligence, class, prompt, research, student, write"
SU25-GAI_PoliciesPractices,25,"students to interact /work with each other; motivates prep for discussion in class. de-emphasize the written product and shift the work to in-class creation and discussion. the paranoid memorandum (jason crider, texas) ask students to break into groups to work on brief writing assignment with detailed, specific prompt.​ each group is given an instruction to either use ai or not use ai in have students","artificialintelligence, assignment, class, prompt, student, write"
SU25-GAI_PoliciesPractices,26,"group is given an instruction to either use ai or not use ai in have students interact with text using ai before assigning it. let students know they’ll be working with particular text in class, but tell them not to read it yet. in class, give students ~10 minutes to ask an ai anything they want to know about the text: summary, which texts or","artificialintelligence, class, student"
SU25-GAI_PoliciesPractices,27,"to ask an ai anything they want to know about the text: summary, which texts or debates it engages with, how it connects to concepts in class, etc. completing the assignment. groups then share their work with the entire class and guess whether each group used ai or not. the trick is that all of the groups are assigned to not use ai (only works","artificialintelligence, assignment, class, concept, engage"
SU25-GAI_PoliciesPractices,28,"the trick is that all of the groups are assigned to not use ai (only works once) n.b., crider’s acceptable use policy is shared at the link above. then, run discussion about what they learned about the text, and what further questions they have. finally, assign students to read the text themselves prior to the next class’ discussion of the text.. see, matt burton’s writing","artificialintelligence, class, learn, policy, student, write"
SU25-GAI_PoliciesPractices,29,"the text themselves prior to the next class’ discussion of the text.. see, matt burton’s writing machines syllabus reflections [ai can do this] encourages students to make personal connections in their writing; fosters metacognition re insights and frustrations in the writing /thinking process.​ in class, have students annotate their own work or do pen-and-paper brainstorming: how they feel when writing this assignment; what challenges they","artificialintelligence, assignment, class, insight, personal, student, syllabus, write"
SU25-GAI_PoliciesPractices,30,"own work or do pen-and-paper brainstorming: how they feel when writing this assignment; what challenges they encountered; what they learned. alternatively, have students interview each other about their approach to the assignment. have students do human vs. machine contest, where they try to make the most human reflection using ai, then test it out on each other. which part was done by ai? how can","artificialintelligence, assignment, human, learn, student, write"
SU25-GAI_PoliciesPractices,31,"ai, then test it out on each other. which part was done by ai? how can they tell? what did they learn from this exercise and what didn’t they learn? stem courses problem sets [ai can do these] repeated opportunities to solve challenging problems help to build students’ understanding of material and general problem solving skills option provide time for students to begin the problem","artificialintelligence, learn, opportunity, problem, solve, student"
SU25-GAI_PoliciesPractices,32,"of material and general problem solving skills option provide time for students to begin the problem set in class, without access to gai/web resources. have students reflect on difficulties address student questions/errors in situ. document student progress.​ remove in-class work on pset tell students they may use ai, and require them to evaluate responses/use. use weekly in-class quizzes to ensure that students are engaging with","artificialintelligence, class, engage, gai, problem, quizzes, resource, solve, student"
SU25-GAI_PoliciesPractices,33,require them to evaluate responses/use. use weekly in-class quizzes to ensure that students are engaging with material. allow them to complete work at home with access to the web. ask students to reflect on/report how if/they used ai use weekly in-class quizzes to ensure that students are engaging with material. solution/ example analysis students need to learn how to critically review examples and solutions (from,"artificialintelligence, class, engage, learn, quizzes, review, solution, student"
SU25-GAI_PoliciesPractices,34,"material. solution/ example analysis students need to learn how to critically review examples and solutions (from texts or elsewhere). present students with problem solutions that have varying types of errors (logic, numeric, etc.). it’s preferable if the errors result from common misconceptions. ask students to work through these: first on their own, then in groups. the jigsaw format works well. debrief to expose common misconceptions.","learn, problem, review, solution, student"
SU25-GAI_PoliciesPractices,35,"on their own, then in groups. the jigsaw format works well. debrief to expose common misconceptions. for one of the problem set questions (or another question) ask students to use gai to produce solution. then have them critically evaluate the answer. students must explain their assessment of the accuracy of the problem and include any prompts they used. computer programming coding pseudo-code helps students learn","accuracy, assessment, computer, gai, learn, problem, prompt, solution, student"
SU25-GAI_PoliciesPractices,36,of the problem and include any prompts they used. computer programming coding pseudo-code helps students learn to clearly articulate what they want their code to accomplish. may help students to create more efficient code provide prompt for small piece of code and ask students to draft pseudo-code in class (w/out gai). have students pair up and read/provide feedback on partners’ code. is it correct? can,"class, computer, create, draft, gai, learn, problem, prompt, student"
SU25-GAI_PoliciesPractices,37,"(w/out gai). have students pair up and read/provide feedback on partners’ code. is it correct? can it be optimized? in class or as hw, ask students to input their optimized pseudo code into an llm. ask students to evaluate the code generated, and iterate on the prompt (or edit the llm output). require that students submit all interactions with the llm. ai assessment scale (updated),","artificialintelligence, assessment, class, gai, prompt, student"
SU25-GAI_PoliciesPractices,38,"the llm output). require that students submit all interactions with the llm. ai assessment scale (updated), leon furze articulating your ai-use policy articulate your policy, your rationale and consider the state of ai detection software. tips for an effective ai syllabus policy 1.​ if ai is prohibited or required, explain why. 2.​ connect ai use to something familiar (e.g., getting help from friend or tutor).","artificialintelligence, assessment, policy, student, syllabus"
SU25-GAI_PoliciesPractices,39,"explain why. 2.​ connect ai use to something familiar (e.g., getting help from friend or tutor). 3.​ provide examples of acceptable and/or unacceptable use. 4.​ acknowledge ethical issues such as data privacy, bias, inaccuracy, intellectual property violations, environmental impact, etc. 5.​ note your ai documentation and citation requirements. this might include screenshots, transcripts, documents with “track changes” enabled, and/or relevant citation or disclosure guidelines: ○​","artificialintelligence, bias, data, disclosure, ethical, guideline, impact, privacy"
SU25-GAI_PoliciesPractices,40,"might include screenshots, transcripts, documents with “track changes” enabled, and/or relevant citation or disclosure guidelines: ○​ apa ai citations guidelines ○​ mla ai citation guidelines ○​ ai disclosure framework 6.​ explain how misuse will be addressed. 7.​ encourage students to ask questions if your policy is unclear. after, daniel stanford: the best ai syllabus policies i’ve seen so far gai decision tree additional resources for","artificialintelligence, disclosure, framework, gai, guideline, policy, resource, student, syllabus"
SU25-GAI_PoliciesPractices,41,"stanford: the best ai syllabus policies i’ve seen so far gai decision tree additional resources for an extreme example of testing ai’s ability to complete assignments, see andrew maynard’s (asu) recent post, where he used openai’s new deep research tool to write phd dissertation. for resources on ai detection tools, see this document from tll for resources on redesigning assignments to make them more “ai","artificialintelligence, assignment, gai, policy, research, resource, syllabus, tool, write"
SU25-GAI_PoliciesPractices,42,"tools, see this document from tll for resources on redesigning assignments to make them more “ai aware”, see the additional resources section of tll’s generative ai and your course page gai course design: policies practices gai teaching learning in higher ed impacts of gai on residential higher ed [1] mollick mollick: using ai to implement effective teaching strategies in classrooms: five strategies, [2] including prompts","artificialintelligence, assignment, design, gai, generative, impact, learn, policy, practice, prompt, resource, strategy, teach, tool"
SU25-GAI_PoliciesPractices,43,"mollick mollick: using ai to implement effective teaching strategies in classrooms: five strategies, [2] including prompts (2023); eric hudson learning on purpose reconsidering your learning outcomes redesigning your assessments classroom practices bloom’s taxonomy taxonomy of educational objectives for the cognitive domain gai-aware make-overs [b.2] writing-specific examples are from annette vee’s post, ai aware teaching examples, in ai how we teach writing. annotated bibliography ai assessment","artificialintelligence, assessment, classroom, educational, gai, learn, practice, prompt, strategy, teach, write"
SU25-GAI_PoliciesPractices,44,"vee’s post, ai aware teaching examples, in ai how we teach writing. annotated bibliography ai assessment scale (updated), leon furze articulating your ai-use policy gai decision tree additional resources for an extreme example of testing ai’s ability to complete assignments, see andrew maynard’s (asu) recent post, where he used openai’s new deep research tool to write phd dissertation. for resources on ai detection tools, see","artificialintelligence, assessment, assignment, gai, policy, research, resource, teach, tool, write"
SU25-GAI_PoliciesPractices,45,"openai’s new deep research tool to write phd dissertation. for resources on ai detection tools, see this document from tll for resources on redesigning assignments to make them more “ai aware”, see the additional resources section of tll’s generative ai and your course page","artificialintelligence, assignment, generative, research, resource, tool, write"
ai.nd.edu_policies-and-guidelines,1,policies and guidelines ai in action ai@nd university of notre dame skip to content skip to navigation university of notre dame university of notre dame ai@nd get to know ai essentials participate ai in action news events about get to know ai essentials participate ai in action news events about home ai in action policies and guidelines policies and guidelines summary guidance work within current,"artificialintelligence, event, guidance, guideline, news, policy, university"
ai.nd.edu_policies-and-guidelines,2,"about home ai in action policies and guidelines policies and guidelines summary guidance work within current university policies. beware of data danger protect confidential, copyrighted, and personal information. any ai tool used with institutional data must follow approval processes. routinely revisit specific usage policies. act ethically with ai. you are 100% responsible for the output you use. be transparent and document usage of ai. when","act, artificialintelligence, data, guidance, guideline, personal, policy, tool, university, usage"
ai.nd.edu_policies-and-guidelines,3,"are 100% responsible for the output you use. be transparent and document usage of ai. when in doubt, reach out. guidelines for using generative ai at notre dame the ai landscape is evolving rapidly, with its capabilities constantly improving and new tools being released daily. the current parameters on using generative ai at notre dame are described below. note that these guidelines for ai use","artificialintelligence, generative, guideline, tool, usage"
ai.nd.edu_policies-and-guidelines,4,"using generative ai at notre dame are described below. note that these guidelines for ai use may change as the field progresses. ethical considerations, regulations, and guidelines surrounding generative ai must be regularly updated to reflect its ever-evolving nature. notre dame encourages safe exploration and use of generative ai tools to further our teaching, learning, research, and other pursuits. keep these guidelines in mind: work","artificialintelligence, ethical, generative, guideline, learn, research, teach, tool"
ai.nd.edu_policies-and-guidelines,5,"tools to further our teaching, learning, research, and other pursuits. keep these guidelines in mind: work within current university policies. our policies are here to help protect the university and its people. the use of ai tools must adhere to existing policies including responsible use of data information technology resources policy students are expected to abide by the generative ai policy for students faculty are","artificialintelligence, data, faculty, generative, guideline, learn, policy, research, resource, student, teach, technology, tool, university"
ai.nd.edu_policies-and-guidelines,6,resources policy students are expected to abide by the generative ai policy for students faculty are asked to read the statement on generative ai and academic integrity and communicate clear expectations to students on using generative ai in their courses. nearly all third-party digital information resources provided through the hesburgh libraries or other university channels are subject to license agreements. most of these agreements currently,"academic, agreement, artificialintelligence, digital, expectation, faculty, generative, integrity, library, policy, resource, statement, student, university"
ai.nd.edu_policies-and-guidelines,7,"hesburgh libraries or other university channels are subject to license agreements. most of these agreements currently prohibit the use, adaption, copying, or data mining of journal articles, e-book chapters, or other electronic content with generative ai. doing so without prior, express, written permission from the publisher/provider(s) may violate our license agreement and could jeopardize access to the affected resources for the entire campus, and also","agreement, artificialintelligence, campus, data, generative, library, resource, university, write"
ai.nd.edu_policies-and-guidelines,8,"license agreement and could jeopardize access to the affected resources for the entire campus, and also subject the university to legal risk. if you are considering using ai or data mining tools on library or other third-party content, please email to request consultation. protect confidential, copyrighted, and personal information. generative ai product providers vary in their approaches to data protection, retention, and usage of your","agreement, artificialintelligence, campus, consultation, data, generative, library, personal, protection, resource, retention, risk, tool, university, usage"
ai.nd.edu_policies-and-guidelines,9,"generative ai product providers vary in their approaches to data protection, retention, and usage of your data. entering information into ai tools can be similar to posting that information on public website. this data includes: information entered via prompts uploaded material personal identifying information like your name or email address other background information you provide to improve personalization any data entered into such tools could","artificialintelligence, data, generative, personal, prompt, protection, retention, tool, usage"
ai.nd.edu_policies-and-guidelines,10,"address other background information you provide to improve personalization any data entered into such tools could become part of its training data, which may be reproduced or incorporated into the output it generates for users outside the university. providers may store and use your inputs to improve their models; others may share it with third parties for advertising purposes. some may guarantee data deletion, with","data, tool, training, university"
ai.nd.edu_policies-and-guidelines,11,"others may share it with third parties for advertising purposes. some may guarantee data deletion, with others retain your data indefinitely. often, providers vary their data use policies across products, with free products having lower default standard for data protection than subscription products. sensitive business information, personal details, or confidential data entered into these systems could be exposed, reused, or accessed by unauthorized parties. before","business, data, personal, policy, protection, system"
ai.nd.edu_policies-and-guidelines,12,"confidential data entered into these systems could be exposed, reused, or accessed by unauthorized parties. before using any ai platform, understand its specific data policies, security measures, and potential risks to make informed decisions about what information you enter into an online platform. the university is reviewing ai tools for use with non-public data; see approved ai tools for more detail. any ai tool used","artificialintelligence, data, policy, review, risk, security, system, tool, university"
ai.nd.edu_policies-and-guidelines,13,"for use with non-public data; see approved ai tools for more detail. any ai tool used with university information must follow review processes. faculty, students, and staff may use university information with generative ai tools or services only when: the information is classified as public or the ai tool or service being used has undergone appropriate internal reviews and contract terms are in place to","artificialintelligence, contract, data, faculty, generative, review, student, tool, university"
ai.nd.edu_policies-and-guidelines,14,"or service being used has undergone appropriate internal reviews and contract terms are in place to protect university data assets. visit approved ai tools for more information. routinely revisit specific usage policies. generative ai technology companies typically provide usage policies to promote safe and responsible use of their products openai example ). users should be aware of such guidelines set forth by external entities, including","artificialintelligence, contract, data, external, generative, guideline, openai, policy, review, technology, tool, university, usage"
ai.nd.edu_policies-and-guidelines,15,"openai example ). users should be aware of such guidelines set forth by external entities, including the vendor, to ensure ethical and lawful use of the technology. these policies are frequently updated without notice and should be reviewed regularly. act ethically with ai. adhere to ethical and legal standards and norms of the disciplines and the university, with regard to data privacy, consent, ownership, and","act, artificialintelligence, data, ethical, external, guideline, openai, policy, privacy, review, technology, university"
ai.nd.edu_policies-and-guidelines,16,"and norms of the disciplines and the university, with regard to data privacy, consent, ownership, and academic integrity. notre dame research has published information about research compliance to help researchers navigate the laws, rules, and policies governing research. you are 100% responsible for the output you use. generative ai-produced content may be biased, inaccurate, completely fabricated, or contain copyright-protected or proprietary information, therefore requiring thorough","academic, artificialintelligence, bias, compliance, data, generative, integrity, law, policy, privacy, research, university"
ai.nd.edu_policies-and-guidelines,17,"content may be biased, inaccurate, completely fabricated, or contain copyright-protected or proprietary information, therefore requiring thorough human review prior to use. be transparent and cite usage of ai. the use of generative ai for any notre dame related research, scholarship or work, should be clearly documented and disclosed. when in doubt, reach out. as this industry rapidly changes, it is impossible to consider every scenario","artificialintelligence, bias, generative, human, research, review, usage"
ai.nd.edu_policies-and-guidelines,18,"in doubt, reach out. as this industry rapidly changes, it is impossible to consider every scenario you might encounter. work with it staff to get connected with the right people to help move your project forward, explore use cases, and mitigate risks. you can start with the oit help desk or complete the ai usage form see also: syllabus policy language: generative ai undergraduate code","artificialintelligence, case, generative, policy, project, risk, syllabus, usage"
ai.nd.edu_policies-and-guidelines,19,desk or complete the ai usage form see also: syllabus policy language: generative ai undergraduate code of honor: generative ai and academic integrity (may 2023) ai recommendations for instructors generative ai policy for students (august 2023) information technology policies home get to know ai essentials participate ai in action approved ai tools resources policies and guidelines accelerate your teams ai journey news events about approved,"academic, artificialintelligence, event, generative, guideline, honor, instructors, integrity, news, policy, resource, student, syllabus, team, technology, tool, usage"
ai.nd.edu_policies-and-guidelines,20,approved ai tools resources policies and guidelines accelerate your teams ai journey news events about approved ai tools resources policies and guidelines accelerate your teams ai journey ai@nd information technology center notre dame in 46556 usa ai@nd.edu search news events visit mobile app accessibility facebook x/twitter instagram youtube linkedin light/dark 2026 university of notre dame home get to know ai essentials participate ai in action,"accessibility, artificialintelligence, event, guideline, news, policy, resource, team, technology, tool, university"
ai.nd.edu_policies-and-guidelines,21,light/dark 2026 university of notre dame home get to know ai essentials participate ai in action approved ai tools resources policies and guidelines accelerate your teams ai journey news events about light/dark,"artificialintelligence, event, guideline, news, policy, resource, team, tool, university"
ai.universityofcalifornia.edu_governance-transparency,1,ai governance and transparency skip to main content open menu close menu search submit search about news and events ai governance and transparency applicable law and uc policy toggle submenu ai communities ai council subcommittees ai council roster toggle submenu tools and resources home ai governance and transparency ai governance and transparency while ai has the potential to streamline administrative workflows  enhance classroom experiences  and,"applicable, artificialintelligence, community, event, governance, law, news, open, policy, resource, tool, transparency"
ai.universityofcalifornia.edu_governance-transparency,2,"governance and transparency while ai has the potential to streamline administrative workflows; enhance classroom experiences; and enable more efficient, data-driven decision-making across uc, we must remain vigilant about potential risks such as accidental disclosure of proprietary, confidential, or personal data, and the inadvertent violation of university policy and/or state and federal laws. as we integrate ai into our daily lives, it is essential to adhere","artificialintelligence, classroom, data, experience, governance, law, personal, policy, risk, transparency, university"
ai.universityofcalifornia.edu_governance-transparency,3,"and federal laws. as we integrate ai into our daily lives, it is essential to adhere to the uc ai principles along with relevant laws and policies that govern data usage, treating ai applications with the same caution and compliance as any other data usage. at the university of california, ai transparency refers to the openness and clarity about how ai systems are designed, implemented,","artificialintelligence, compliance, data, design, law, policy, system, transparency, university, usage"
ai.universityofcalifornia.edu_governance-transparency,4,"california, ai transparency refers to the openness and clarity about how ai systems are designed, implemented, and used. transparency fosters trust, ensures accountability, and allows stakeholders to understand and assess the impact and ethical implications of ai-driven decisions and processes. uc responsible ai principles the uc presidential working group on ai developed the uc responsible ai principles to establish appropriate oversight and guardrails so uc","accountability, artificialintelligence, design, ethical, impact, system, transparency"
ai.universityofcalifornia.edu_governance-transparency,5,"on ai developed the uc responsible ai principles to establish appropriate oversight and guardrails so uc may harness the full potential of ai’s transformative technology while appropriately addressing concerns about the potential risks, particularly bias and discrimination. these principles draw upon growing consensus around the concept of responsible ai and various frameworks implemented across public and private sectors. aligning use cases with the uc responsible","artificialintelligence, bias, case, concept, discrimination, framework, risk, technology"
ai.universityofcalifornia.edu_governance-transparency,6,"and various frameworks implemented across public and private sectors. aligning use cases with the uc responsible ai principles helps ensure uc procures, develops, and implements ai-enabled tools that advance both our systems and processes as well as our values. what are the principles? appropriateness: the potential benefits and risks of ai and the needs and priorities of those affected should be carefully evaluated to determine","artificialintelligence, case, framework, risk, system, tool"
ai.universityofcalifornia.edu_governance-transparency,7,"of ai and the needs and priorities of those affected should be carefully evaluated to determine whether ai should be applied or prohibited. transparency: individuals should be informed when ai-enabled tools are being used. the methods should be explainable, to the extent possible, and individuals should be able to understand ai-based outcomes, ways to challenge them, and meaningful remedies to address any harms caused. accuracy,","accuracy, artificialintelligence, tool, transparency"
ai.universityofcalifornia.edu_governance-transparency,8,"understand ai-based outcomes, ways to challenge them, and meaningful remedies to address any harms caused. accuracy, reliability, and safety: ai-enabled tools should be effective, accurate, and reliable for the intended use and verifiably safe and secure throughout their lifetime. fairness and non-discrimination: ai-enabled tools should be assessed for bias and discrimination. procedures should be put in place to proactively identify, mitigate, and remedy these harms.","accuracy, artificialintelligence, bias, discrimination, tool"
ai.universityofcalifornia.edu_governance-transparency,9,"and discrimination. procedures should be put in place to proactively identify, mitigate, and remedy these harms. privacy and security: ai-enabled tools should be designed in ways that maximize privacy and security of persons and personal data. human values: ai-enabled tools should be developed and used in ways that support the ideals of human values, such as human agency and dignity, and respect for civil and","artificialintelligence, data, design, discrimination, human, personal, privacy, security, tool"
ai.universityofcalifornia.edu_governance-transparency,10,"the ideals of human values, such as human agency and dignity, and respect for civil and human rights. adherence to civil rights laws and human rights principles must be examined in consideration of ai adoption where rights could be violated. shared benefit and prosperity: ai-enabled tools should be inclusive and promote equitable benefits (e.g., social, economic, environmental) for all. accountability: the university of california should","accountability, artificialintelligence, human, inclusive, law, tool, university"
ai.universityofcalifornia.edu_governance-transparency,11,"and promote equitable benefits (e.g., social, economic, environmental) for all. accountability: the university of california should be held accountable for its development and use of ai systems in service provision in line with the above principles. applicable laws and policies uc is subject to many laws, and has numerous policies, that apply to ai even if they dont explicitly mention ""artificial intelligence."" existing laws and","accountability, applicable, artificialintelligence, development, law, policy, system, university"
ai.universityofcalifornia.edu_governance-transparency,12,"policies, that apply to ai even if they dont explicitly mention ""artificial intelligence."" existing laws and policies on privacy, it security, anti-discrimination, conduct, and more are just as relevant to ai and the data driving it as they are to any other framework. essentially, if an action wasnt permissible before ai, it isnt permissible with ai. review list of ucs applicable laws and policies and","applicable, artificialintelligence, data, discrimination, framework, law, policy, privacy, review, security"
ai.universityofcalifornia.edu_governance-transparency,13,"before ai, it isnt permissible with ai. review list of ucs applicable laws and policies and learn more about how these policies relate to ai. additionally, uc legal has prepared legal expertise chart that serves as guide to navigate the complex legal landscape of artificial intelligence (ai) across diverse areas, including privacy, intellectual property, discrimination, due process, and contract law. by mapping potential university activities","applicable, artificialintelligence, contract, discrimination, guide, law, learn, policy, privacy, review, university"
