profile_url,num_hits,matches,snippets
https://business.gwu.edu/administration,0,,
https://business.gwu.edu/alexandre-m-baptista,0,,
https://business.gwu.edu/angela-gore,0,,
https://business.gwu.edu/anju-wadhwa,0,,
https://business.gwu.edu/anna-helm,0,,
https://business.gwu.edu/anoma-kulathunga,0,,
https://business.gwu.edu/anupama-phene,0,,
https://business.gwu.edu/ariel-weinberger,0,,
https://business.gwu.edu/arthur-wilson,0,,
https://business.gwu.edu/ayman-el-tarabishy,0,,
https://business.gwu.edu/ben-bronner,0,,
https://business.gwu.edu/bonnie-pierce,0,,
https://business.gwu.edu/brian-j-henderson,0,,
https://business.gwu.edu/cevat-tosun,0,,
https://business.gwu.edu/chad-ho,0,,
https://business.gwu.edu/chris-seek,0,,
https://business.gwu.edu/christopher-jones,0,,
https://business.gwu.edu/christopher-leinberger,0,,
https://business.gwu.edu/chukwuma-dim,0,,
https://business.gwu.edu/d-christopher-kayes,0,,
https://business.gwu.edu/danny-leipziger,0,,
https://business.gwu.edu/david-brown,0,,
https://business.gwu.edu/david-halliday,0,,
https://business.gwu.edu/david-jacobs,0,,
https://business.gwu.edu/davide-sonzogni,0,,
