personal_url,name,num_hits,matches,snippets,cv_filename
http://www.annahelm.com/,Anna Helm,0,,,cvannahelm_august2012_1771595435.pdf
http://aweinberger.weebly.com/,Ariel Weinberger,0,,,
http://www.aymaneltarabishy.com/,Ayman El Tarabishy,16,AI; Artificial intelligence; ChatGPT; Generative AI,"nt of Management at the George Washington University School of Business. Breaking News Evoking Ecosystems in the Age of AI 01/26/2026 Ayman Tarabishy Artificial intelligence presents unprecedented opportunity to remove entrepreneurial barrier ||  Washington University School of Business. Breaking News Evoking Ecosystems in the Age of AI 01/26/2026 Ayman Tarabishy Artificial intelligence presents unprecedented opportunity to remove entrepreneurial barriers or recreate them through over-regulation. Examini || t top-down governance, enables ecosystem success in technological disruption. The post Evoking Ecosystems in the Age of AI appeared first on ICSB | International Council for Small Business. Read More Asking good questions in the age of Genera ||  of AI appeared first on ICSB | International Council for Small Business. Read More Asking good questions in the age of Generative AI​ 01/03/2026 Ayman Tarabishy Asking good questions in the age of Generative AI     Unlocking the full potential of innov ||  More Asking good questions in the age of Generative AI​ 01/03/2026 Ayman Tarabishy Asking good questions in the age of Generative AI     Unlocking the full potential of innovative technologies like ChatGPT relies on asking well-formulated questions. It",
https://sites.google.com/view/chukwumadim/,Chukwuma Dim,2,machine learning; natural language processing," Finance & Management. My research interests are in empirical asset pricing, investor behavior, and the applications of machine learning and natural language processing in asset pricing . You can contact me at : cdim@gwu.edu CV Twitter LinkedIn Google Site || . My research interests are in empirical asset pricing, investor behavior, and the applications of machine learning and natural language processing in asset pricing . You can contact me at : cdim@gwu.edu CV Twitter LinkedIn Google Sites Report abuse Page details Page",Chukwuma_Dim_CV_1771595439.pdf
https://dckayes.com/,D. Christopher Kayes,0,,,
http://www.growthdialogue.org/,Danny Leipziger,0,,,
http://postsocial.gwu.edu/,Donna Hoffman,7,AI; artificial intelligence; machine learning; natural language processing," research is focused on using conceptual, empirical and computational approaches to understand consumer experience with AI. Her work has been published in all of the field's top journals and enjoys wide impact with over 42,000 Google scholar  || , USC, and UCSD. She was named a Distinguished Graduate Alumnus of UNC in 2002. Research Focus Consumer experience with AI using conceptual, computational, and empirical approaches. Digital marketing strategy and online consumer behavior. Goo || ve years at Young & Rubicam, New York. Research Focus Consumer behavior in online environments, Internet of Things, and machine learning methods for understanding emergent consumer experiences. Google Scholar | Download CV (PDF) | Email Research Areas Asse || ing applications of flow theory to understand optimal experiences in digital environments and online consumer behavior. AI & Consumer Experience Investigating how artificial intelligence transforms consumer experiences through computational s || nd optimal experiences in digital environments and online consumer behavior. AI & Consumer Experience Investigating how artificial intelligence transforms consumer experiences through computational social science and machine learning methods. Digital Marketing Fo",
https://sites.google.com/view/edward-sul,Edward Sul,0,,,
https://hermanaguinis.com/,Herman Aguinis,1,data science," in organizations and research methods, technology, and analytics (i.e., behavioral                         science and data science). He has published 13 books and about 235 journal articles .  						His research has received about 76,000 Google Schol",
http://hossein-askari.com/,Hossein Askari,0,,,
https://lessonsonleadership.org/,James R.  Bailey,0,,,
http://www.jennyzha.com/,Jenny Zha Giedt,0,,,Jenny_Zha_Giedt_CV_1771595449.pdf
https://globalfoodinstitute.gwu.edu/,John J. Forrer,0,,,
https://sites.google.com/site/jorgeriveragwu/home,Jorge E. Rivera,0,,,
http://www.jorgewalter.com/,Jorge Walter,5,AI; Artificial Intelligence; algorithms,"penhagen, Denmark. Markus Kreutzer and I presented our recent work on “Control-trust dynamics in the context of agentic algorithms” as part of and Chris Long and Simon Schafheitle’s insightful symposium on “Control and Trust Dynamics in the Age of AI || ms” as part of and Chris Long and Simon Schafheitle’s insightful symposium on “Control and Trust Dynamics in the Age of AI and Big Data.” It was also the first time my daughter Sophia accompanied me to an academic conference, and we managed t || . Genesis (2024) 06/15/2025 08/16/2025 Jorge Walter By Henry Kissinger, Craig Mundie, & Eric Schmidt The second book on AI by some of the world’s most renown thinkers on technology and society–and Henry Kissinger’s last book–that offers a num ||  technology and society–and Henry Kissinger’s last book–that offers a number of insightful reflections on the impact of AI on our human society and beyond. 2025 Glamies High School Theatre Awards 05/28/2025 07/30/2025 Jorge Walter Congratulat || arkus Kreutzer and my new book on “ Reconceptualizing Organizational Control: Managing in the Age of Hybrid Workplaces, Artificial Intelligence, and the Gig Economy ” is now available on the Cambridge University Press website! Difficult Conversations (2023) 10/13",
https://www.kylewelch.com/,Kyle Welch,0,,,
