Type,ID,Text
dtei.uci.edu_generative-ai,11,"to students. ovptl/cwcc faq (originally published in 2023, but still relevant) digital learning lab zotgpt academy humanities core composition program global languages communication office of academic integrity uc irvine libraries generative ai and information literacy research guide at the same time, it is important to prepare students for the types of environments they will engage in after graduation. to that end, we have gathered relevant"
dtei.uci.edu_generative-ai,12,"types of environments they will engage in after graduation. to that end, we have gathered relevant statements on ai tools from professional and educational arenas which include these example directives: national institutes of health linked ]. ai-detection technology is used in grant reviews. researchers should be aware of the risks of ai and are responsible for verifying information, protecting research participants, storing data appropriately, etc."
dtei.uci.edu_generative-ai,13,"risks of ai and are responsible for verifying information, protecting research participants, storing data appropriately, etc. nih does not consider applications substantially developed by ai to be original ideas of applicants. peer reviewers are prohibited from using nlps, llms, and other genai technology for analyzing for peer review. american psychological association linked additional guidance ]. researchers must disclose and cite any use of ai during"
dtei.uci.edu_generative-ai,14,"psychological association linked additional guidance ]. researchers must disclose and cite any use of ai during the drafting of their manuscripts. ai cannot be named as authors on scholarly publications. researchers are responsible for verifying information received in ai outputs, providing attribution to the ai tools, and maintaining ethical approaches to using genai technology. graphic arts guild linked ]. the use of ai image generators"
dtei.uci.edu_generative-ai,15,"approaches to using genai technology. graphic arts guild linked ]. the use of ai image generators raises ethical and legal concerns that must be considered, including the unauthorized use of creators’ imagery, confusion on copyrights, ethical concerns in the imitation of artists’ works, and work displacement for visual artists. the negative impact ai image generating platforms will have on visual artists should be recognized, and"
dtei.uci.edu_generative-ai,16,"the negative impact ai image generating platforms will have on visual artists should be recognized, and measures should be taken by the tech sector to prevent the abuse of creators’ works. corporate and working world job applicants who have an advanced understanding of ai capabilities and limitations may have an advantage. job applicants who are dependent on ai capabilities have disadvantage. this document is periodically"
dtei.uci.edu_generative-ai,17,"an advantage. job applicants who are dependent on ai capabilities have disadvantage. this document is periodically updated. if you have questions, please contact waverly tseng waverlyt@uci.edu ). dtei events on generative ai in spring 2025, dtei hosted speed round-style pitch competition in which several faculty shared their ideas on how ai can be leveraged by faculty and departments to make teaching more efficient and effective."
dtei.uci.edu_generative-ai,18,"how ai can be leveraged by faculty and departments to make teaching more efficient and effective. watch the videos below to learn more about innovative uses of ai to enhance teaching! on may 21st, 2025, dtei hosted panel with school of humanities where faculty shared their varied approaches to incorporating or moderating ai in humanities courses, including the strategies employed and perspectives on the potential"
dtei.uci.edu_generative-ai,19,"incorporating or moderating ai in humanities courses, including the strategies employed and perspectives on the potential role of ai in students’ writing development. watch the recording below to learn about genai in humanities courses. ovptl ai advisory committee the ovptl ai advisory committee was established in fall 2025 with the mission of providing advice to the vice provost for teaching and learning and the associate"
dtei.uci.edu_generative-ai,20,"the mission of providing advice to the vice provost for teaching and learning and the associate dean of the division of teaching excellence and innovation regarding the intersection of generative ai and instructional practices daniel m. gross campus writing communication coordinator [chair] brian sato associate dean, division of teaching excellence and innovation waverly tseng educational technology specialist, division of teaching excellence and innovation sarkis daglian"
dtei.uci.edu_generative-ai,21,"excellence and innovation waverly tseng educational technology specialist, division of teaching excellence and innovation sarkis daglian director of ai, cloud client solutions, office of information technology elisa borowski assistant professor, samueli school of engineering jonathan alexander chancellors professor, school of humanities liz glynn professor, claire trevor school of the arts leanne burke clinical professor, samueli school of engineering crista lopes chancellors professor, bren school of"
dtei.uci.edu_generative-ai,22,"arts leanne burke clinical professor, samueli school of engineering crista lopes chancellors professor, bren school of information and computer sciences bob pelayo associate teaching professor, school of physical sciences tingting nian associate professor, paul merage school of business megan peters associate professor, school of social sciences tetyana vasylyeva assistant professor, joe c. wen school of population public health adrienne williams assistant professor of teaching, charlie"
dtei.uci.edu_generative-ai,23,"professor, joe c. wen school of population public health adrienne williams assistant professor of teaching, charlie dunlop school of biological sciences tom yeh assistant professor of teaching, bren school of information and computer sciences segio gago-masague associate professor of teaching, bren school of information and computer sciences council on educational policy, uc irvine academic senate luyi gui associate professor, paul merage school of business council"
dtei.uci.edu_generative-ai,24,"educational policy, uc irvine academic senate luyi gui associate professor, paul merage school of business council on teaching, learning, and student experience, uc irvine academic senate jean-daniel saphores professor, samueli school of engineering graduate council, uc irvine academic senate location the division of teaching excellence and innovation is located on the 3rd floor of the anteater instruction and research building (airb). address: airb 3020, 653"
dtei.uci.edu_generative-ai,25,"on the 3rd floor of the anteater instruction and research building (airb). address: airb 3020, 653 peltason drive, irvine, ca 92617. contact us mail: dtei@uci.edu phone: (949) 824-3594 affiliated websites office of the vice provost for teaching and learning uci teach anywhere oit and canvas support division of undergraduate education uci libraries give to dtei support our work! donate to uci dtei follow follow copyright"
dtei.uci.edu_generative-ai,26,education uci libraries give to dtei support our work! donate to uci dtei follow follow copyright 2026 uci division of teaching excellence and innovation
